First Time: 1744180252.9851856; Last Time: 1744180258.670871; Total Time(s): 5.685685396194458; Fitness: 301.94000831173804; Individual: Coth(Plus(Divide(Minimum(Norm(Cosh(Sqr(OrR1R1y))), Cos(Atan2r(Norm(dr_1), Acos(Vy_1)))), Cot(Real(Sqr(Times(Vy_1, OrR2R1y))))), Tan(Tan(Minus(Times(Csc(t_1), Tanh(t_2)), Tanh(Sqr(t_1)))))));
First Time: 1744180258.686497; Last Time: 1744180276.004345; Total Time(s): 17.317847967147827; Fitness: 107.86981161792146; Individual: Real(OrR2R1x);
First Time: 1744180276.019973; Last Time: 1744180315.5812948; Total Time(s): 39.56132173538208; Fitness: 113.56225443166349; Individual: Minimum(Plus(Tanh(Sech(Sqr(Maximum(Minimum(Real(Cot(OrR2R1x)), Cosh(Cosh(OrR2R1y))), Sech(Exp(Asin(ds_2))))))), Real(Csch(Norm(Minimum(Cos(Exp(Minimum(t_1, x_1))), Real(Cos(Atanr(OrR1R1y)))))))), Sech(Cos(Exp(Real(Maximum(Cosh(Sinh(Logn(t_2))), Tan(Sec(Atanr(y_2)))))))));
First Time: 1744180315.5969267; Last Time: 1744180330.347542; Total Time(s): 14.750615358352661; Fitness: 169.89831491058288; Individual: Tanh(Vx_2);
First Time: 1744180330.3631666; Last Time: 1744180344.9798498; Total Time(s): 14.6166832447052; Fitness: 192.45361956054367; Individual: Acos(Minimum(Cosh(x_2), t_1));
First Time: 1744180344.9838133; Last Time: 1744180425.4063044; Total Time(s): 80.4224910736084; Fitness: 70.61439398917216; Individual: Plus(Sqr(Atan2r(Sech(Minimum(Exp(Asin(Cot(Sqrt(Norm(Times(Vy_1, y_1)))))), Tanh(Times(Maximum(Real(Exp(Sqrt(xd_1))), Asin(Plus(Atan2r(t_2, dr_2), Coth(t_1)))), Sinh(Asin(Exp(Divide(xd_1, OrR2R1x)))))))), Tanh(Sin(Minimum(Sin(Cos(Atanr(Times(Exp(y_1), Acos(t_1))))), Minimum(Asin(Tanh(Atan2r(Csch(xd_1), Tanh(t_1)))), Minimum(Real(Sec(Minimum(y_1, xd_1))), Csc(Divide(Divide(Vx_2, td), Abs(OrR2R1x)))))))))), Abs(Minus(Sec(Abs(Cos(Maximum(Times(Times(Times(Real(y_1), Plus(OrR2R1y, Vx_2)), Sinh(Times(x_2, xd_1))), Minimum(Sech(Tanh(xd_1)), Atan2r(Plus(td, t_1), Cot(OrR2R1y)))), Times(Maximum(Sqrt(Norm(OrR2R1x)), Real(Norm(OrR2R1y))), Sech(Acos(Sqr(OrR1R1x)))))))), Cos(Tan(Atanr(Exp(Sqr(Sinh(Asin(Maximum(xd_1, y_2)))))))))));
First Time: 1744180425.4063044; Last Time: 1744180456.528022; Total Time(s): 31.12171769142151; Fitness: 69.21919916725403; Individual: Plus(Logn(Real(Real(Norm(Asin(dr_1))))), Atan2r(Asin(Minimum(Tan(Sqr(x_1)), Atanr(Divide(OrR2R1x, y_1)))), Sqr(Sech(Tanh(Minus(dr_1, yd_1))))));
First Time: 1744180456.528022; Last Time: 1744180465.9746034; Total Time(s): 9.446581363677979; Fitness: inf; Individual: Csch(Logn(Coth(Vy_1)));
First Time: 1744180465.9746034; Last Time: 1744180471.69385; Total Time(s): 5.7192466259002686; Fitness: 301.94000831173804; Individual: Sinh(Tanh(Sech(Coth(Cosh(Norm(Cot(Divide(Divide(Atan2r(t_2, xd_2), Sin(dr_2)), Sec(Coth(Vy_1))))))))));
First Time: 1744180471.69385; Last Time: 1744180477.7412782; Total Time(s): 6.047428131103516; Fitness: 301.94000831173804; Individual: Times(Atanr(Sec(Sech(Acos(Atanr(Norm(Sinh(Real(yd_1)))))))), Atanr(Asin(Minimum(Maximum(Divide(Asin(Sqrt(Maximum(dr_1, yd_1))), Times(Tanh(Logn(x_1)), Times(Sech(OrR1R1x), Sqrt(Vy_1)))), Sin(Minimum(Coth(Cosh(Vy_2)), Sqr(Coth(t_2))))), Cosh(Cot(Coth(Sin(Minus(dr_1, dr_2)))))))));
First Time: 1744180477.7569053; Last Time: 1744180495.869355; Total Time(s): 18.112449645996094; Fitness: 128.14825654983753; Individual: Minus(Cosh(Cos(OrR2R1x)), xd_2);
First Time: 1744180495.869355; Last Time: 1744180513.9506328; Total Time(s): 18.08127784729004; Fitness: 106.39011903067986; Individual: Cot(x_1);
First Time: 1744180513.9516604; Last Time: 1744180532.4508138; Total Time(s): 18.49915337562561; Fitness: 122.13652670691627; Individual: Sec(Atanr(Acos(Tan(t_2))));
First Time: 1744180532.4696198; Last Time: 1744180550.6002333; Total Time(s): 18.130613565444946; Fitness: 116.01359880165701; Individual: Sin(Sech(xd_2));
First Time: 1744180550.6164205; Last Time: 1744180572.815445; Total Time(s): 22.199024438858032; Fitness: 172.3225132192114; Individual: Times(Norm(Norm(Real(Sqr(Plus(y_2, dr_1))))), Minus(Cosh(Real(Minus(Exp(Vy_2), Real(dr_2)))), Sqrt(Cosh(Sech(Cosh(xd_1))))));
First Time: 1744180572.832064; Last Time: 1744180589.631225; Total Time(s): 16.799161195755005; Fitness: 140.07755076194286; Individual: Sinh(Atan2r(dr_2, t_2));
First Time: 1744180589.6493983; Last Time: 1744180612.404036; Total Time(s): 22.754637718200684; Fitness: 119.5676175760364; Individual: Csc(Sech(Atan2r(Atan2r(Minus(dr_1, Vx_2), Divide(t_1, dr_1)), Cosh(Times(Vx_2, OrR1R1x)))));
First Time: 1744180612.404036; Last Time: 1744180618.4130409; Total Time(s): 6.009004831314087; Fitness: 301.94000831173804; Individual: Logn(Sec(Plus(Logn(Times(xd_1, Vx_2)), Csc(Asin(x_1)))));
First Time: 1744180618.4302394; Last Time: 1744180637.1625059; Total Time(s): 18.732266426086426; Fitness: 107.26377160680207; Individual: Norm(Sinh(yd_1));
First Time: 1744180637.1771505; Last Time: 1744180655.6277516; Total Time(s): 18.45060110092163; Fitness: 107.06571202562841; Individual: Sin(Asin(Plus(y_2, Vx_2)));
First Time: 1744180655.6277516; Last Time: 1744180661.676373; Total Time(s): 6.048621416091919; Fitness: 301.94000831173804; Individual: Csc(Logn(Vy_1));
First Time: 1744180661.677732; Last Time: 1744180709.0640671; Total Time(s): 47.386335134506226; Fitness: 128.4086704911674; Individual: Atan2r(Coth(Cos(Sinh(Minimum(Exp(Norm(Cosh(Atanr(Atanr(yd_1))))), Tanh(Sin(Sech(Minus(Exp(dr_2), Logn(td))))))))), Tanh(Maximum(Csc(Sec(Real(Plus(Maximum(Plus(Tan(OrR1R1x), Cosh(yd_1)), Cosh(Logn(xd_1))), Maximum(Coth(Cos(Vy_2)), Csc(Asin(ds_2))))))), Divide(Cot(Sinh(Atanr(Plus(Atan2r(Plus(dr_1, xd_1), Sec(yd_2)), Sqrt(Sin(OrR1R1y)))))), Norm(Atanr(Csc(Asin(Sin(Sec(ds_2))))))))));
First Time: 1744180709.0796053; Last Time: 1744180732.51265; Total Time(s): 23.43304467201233; Fitness: 109.4729870569367; Individual: Atan2r(Maximum(Vy_1, Tan(Exp(Times(Norm(t_1), Csc(OrR2R1x))))), Tanh(Csc(yd_2)));
First Time: 1744180732.528274; Last Time: 1744180746.1432288; Total Time(s): 13.614954710006714; Fitness: 301.4574702713517; Individual: Csc(Csch(Sqrt(dr_2)));
First Time: 1744180746.1432288; Last Time: 1744180752.924317; Total Time(s): 6.78108811378479; Fitness: inf; Individual: Norm(Plus(Divide(Sinh(Sqr(Atanr(Abs(Asin(Sin(Exp(y_1))))))), Cos(Divide(Sinh(Sech(Csc(Tanh(Plus(Vx_2, Vy_2))))), Csch(Exp(Tan(Acos(Norm(OrR2R1x)))))))), Times(Times(Exp(Sqr(Cos(Minus(Atan2r(Times(OrR1R1x, OrR2R1x), Logn(OrR1R1x)), Tanh(Exp(y_1)))))), Csc(Times(Tanh(Acos(Minus(Cot(dr_2), Cot(y_2)))), Csc(Norm(Coth(Real(y_1))))))), Cos(Acos(Csc(Maximum(Coth(Csch(Cos(Vy_1))), Abs(Acos(Minus(Vy_1, td))))))))));
First Time: 1744180752.924317; Last Time: 1744180758.7879202; Total Time(s): 5.863603353500366; Fitness: inf; Individual: Csch(Vx_2);
First Time: 1744180758.7956138; Last Time: 1744180775.8269007; Total Time(s): 17.03128695487976; Fitness: 107.19770280411308; Individual: Minus(OrR1R1x, dr_2);
First Time: 1744180775.827595; Last Time: 1744180797.2080543; Total Time(s): 21.380459308624268; Fitness: 120.35938904817574; Individual: Divide(Exp(Tanh(Csch(yd_1))), Sinh(Norm(Exp(Tan(OrR2R1x)))));
First Time: 1744180797.2080543; Last Time: 1744180803.2580926; Total Time(s): 6.0500383377075195; Fitness: 301.94000831173804; Individual: Atanr(Exp(Sec(Times(Csch(Sech(Acos(Tan(Sqrt(Asin(Sqrt(OrR1R1y))))))), Tan(Real(Minus(Norm(Maximum(Sqr(Asin(yd_1)), Sinh(Cos(y_1)))), Sinh(Cos(Csch(Divide(x_2, t_1)))))))))));
First Time: 1744180803.2737174; Last Time: 1744180820.6395097; Total Time(s): 17.365792274475098; Fitness: 107.95267871542057; Individual: Sin(x_2);
First Time: 1744180820.6395097; Last Time: 1744180838.55676; Total Time(s): 17.917250394821167; Fitness: 77.17289968973253; Individual: Sqrt(OrR1R1y);
First Time: 1744180838.55676; Last Time: 1744180854.8060179; Total Time(s): 16.249257802963257; Fitness: 167.0802229446501; Individual: Coth(Sqr(ds_2));
First Time: 1744180854.807909; Last Time: 1744180869.150479; Total Time(s): 14.342570066452026; Fitness: 160.68730533616304; Individual: Atanr(Vy_2);
First Time: 1744180869.150479; Last Time: 1744180901.803113; Total Time(s): 32.65263390541077; Fitness: 107.6253223964032; Individual: Divide(Sinh(Plus(Csc(Asin(Coth(Atanr(Sech(ds_2))))), Sech(Logn(Csch(Acos(Cosh(OrR2R1y))))))), Acos(Minus(Tan(Atanr(Minus(Cosh(Maximum(y_2, xd_1)), Cosh(Sin(yd_1))))), Exp(Csch(Norm(Exp(Sin(x_1))))))));
First Time: 1744180901.803113; Last Time: 1744180919.518958; Total Time(s): 17.715845108032227; Fitness: 128.51257662986677; Individual: Cosh(y_1);
First Time: 1744180919.518958; Last Time: 1744180945.5677521; Total Time(s): 26.04879403114319; Fitness: 256.9616515662719; Individual: Logn(Sec(Minimum(Real(Sqr(Times(Logn(Tan(Logn(Real(Cot(dr_2))))), Sqr(Times(Sin(Cosh(Cot(OrR2R1y))), Sinh(Cot(Atan2r(t_1, y_1)))))))), Tan(Minimum(Times(Minus(Cot(Sqrt(Minimum(Sec(Vx_1), Sin(x_1)))), Cos(Exp(Exp(Logn(OrR1R1x))))), Minus(Asin(Sqrt(Coth(Maximum(OrR2R1x, Vx_1)))), Logn(Coth(Cos(Norm(Vy_2)))))), Atanr(Maximum(Cos(Csc(Sech(Minus(x_1, yd_2)))), Sqr(Csch(Times(Coth(dr_2), Sqrt(y_2)))))))))));
First Time: 1744180945.5677521; Last Time: 1744180969.3983319; Total Time(s): 23.83057975769043; Fitness: 115.51533494396844; Individual: Atan2r(Cos(Logn(Logn(y_1))), Times(Atanr(Maximum(td, yd_2)), Tan(Maximum(Vy_2, ds_2))));
First Time: 1744180969.4139578; Last Time: 1744180988.965968; Total Time(s): 19.55201005935669; Fitness: 66.93648875956656; Individual: Plus(Csch(x_2), yd_1);
First Time: 1744180988.965968; Last Time: 1744180999.6459002; Total Time(s): 10.679932355880737; Fitness: 276.10892610666656; Individual: Coth(Sec(Coth(Sqr(Asin(Coth(Cosh(Minus(td, Vy_2))))))));
First Time: 1744180999.6485004; Last Time: 1744181012.5942845; Total Time(s): 12.945784091949463; Fitness: 259.869037472297; Individual: Logn(Atanr(Csc(Acos(Csc(Cot(Sinh(Minimum(Divide(OrR2R1x, OrR1R1x), Cot(t_1)))))))));
First Time: 1744181012.5942845; Last Time: 1744181018.444214; Total Time(s): 5.849929571151733; Fitness: 301.94000831173804; Individual: Cot(Csc(Plus(Sin(Logn(Sinh(Minus(Abs(Logn(Cosh(Csc(t_2)))), Sqr(Exp(Abs(Logn(ds_2)))))))), Cos(Csc(Cos(Atanr(Norm(Asin(Sech(Cos(OrR1R1x)))))))))));
First Time: 1744181018.4598396; Last Time: 1744181034.4612098; Total Time(s): 16.001370191574097; Fitness: 160.79896329520585; Individual: Divide(Tanh(Vx_1), td);
First Time: 1744181034.4767482; Last Time: 1744181041.5648546; Total Time(s): 7.088106393814087; Fitness: 301.94000831173804; Individual: Acos(Maximum(Tan(Sqrt(Divide(Coth(Times(t_2, Vx_1)), Sech(Times(yd_2, OrR2R1y))))), Atanr(Csc(Sinh(Norm(Atan2r(Vy_1, y_1)))))));
First Time: 1744181041.5804822; Last Time: 1744181061.244892; Total Time(s): 19.664409637451172; Fitness: 94.80287613455111; Individual: Cot(y_1);
First Time: 1744181061.244892; Last Time: 1744181082.1939058; Total Time(s): 20.94901394844055; Fitness: 222.8619574342114; Individual: Sec(Sec(Sinh(Minimum(Tanh(Tan(Atanr(Cos(Sec(x_2))))), Plus(Minimum(Plus(Minimum(Csch(y_1), Cos(dr_2)), Plus(Sqr(xd_1), Atanr(OrR1R1y))), Plus(Times(Abs(OrR2R1x), Plus(yd_2, x_1)), Sec(Csc(x_2)))), Norm(Acos(Tanh(Sinh(x_1)))))))));
First Time: 1744181082.2095306; Last Time: 1744181099.309816; Total Time(s): 17.100285291671753; Fitness: 107.44074279799065; Individual: Minimum(y_1, yd_1);
First Time: 1744181099.309816; Last Time: 1744181105.4911563; Total Time(s): 6.181340456008911; Fitness: inf; Individual: Coth(Tan(Real(t_1)));
First Time: 1744181105.506784; Last Time: 1744181125.8696358; Total Time(s): 20.362851858139038; Fitness: 78.50729463417034; Individual: Sqrt(Sqrt(Tanh(dr_2)));
First Time: 1744181125.8892193; Last Time: 1744181150.4382403; Total Time(s): 24.549021005630493; Fitness: 128.0851531097898; Individual: Plus(Csch(Norm(Cos(Coth(xd_2)))), Sqr(Minimum(Cosh(Minimum(Vx_1, y_2)), Sqrt(Sqr(dr_1)))));
First Time: 1744181150.4382403; Last Time: 1744181168.2202296; Total Time(s): 17.781989336013794; Fitness: 106.85199442130602; Individual: Real(xd_1);
First Time: 1744181168.2202296; Last Time: 1744181184.6886413; Total Time(s): 16.468411684036255; Fitness: 107.54790321172327; Individual: Asin(y_2);
First Time: 1744181184.6886413; Last Time: 1744181201.6865401; Total Time(s): 16.997898817062378; Fitness: 107.58423023901938; Individual: Minimum(t_1, yd_2);
First Time: 1744181201.6865401; Last Time: 1744181219.2510626; Total Time(s): 17.56452250480652; Fitness: 128.40367523244524; Individual: Sqrt(Cosh(OrR1R1x));
First Time: 1744181219.2510626; Last Time: 1744181237.4664056; Total Time(s): 18.21534299850464; Fitness: 121.99821875799762; Individual: Cosh(Tanh(t_2));
First Time: 1744181237.4664056; Last Time: 1744181255.3843813; Total Time(s): 17.917975664138794; Fitness: 128.0035892525691; Individual: Cosh(Real(Atanr(Vy_1)));
First Time: 1744181255.400005; Last Time: 1744181273.7993968; Total Time(s): 18.399391651153564; Fitness: 160.8179491013696; Individual: Cot(Maximum(Asin(Csc(Acos(Asin(t_1)))), Sin(dr_1)));
First Time: 1744181273.7993968; Last Time: 1744181291.1152668; Total Time(s): 17.3158700466156; Fitness: 119.68004515409226; Individual: Sec(xd_1);
